*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Jan 13 05:02:53 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Aug-12 08:16:23.3440 TDB
Stop  time      : A.D. 2022-Feb-12 00:00:00.0000 TDB
Step-size       : 360 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of B1950.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458342.844714629, A.D. 2018-Aug-12 08:16:23.3440,  1.137819486559053E+08, -1.001809917313660E+08,  1.377875984544307E+04,  1.920592322298988E+01,  2.226304816017984E+01, -4.863729360607749E-03,  5.056832027997178E+02,  1.516000103366399E+08, -2.971433875143723E-01,
2458343.094714629, A.D. 2018-Aug-12 14:16:23.3440,  1.141957764569857E+08, -9.969921709609519E+07,  1.367396167748421E+04,  1.911140365150140E+01,  2.234564187047911E+01, -4.839101462810191E-03,  5.056617088371276E+02,  1.515935666087628E+08, -2.994948137692354E-01,
2458343.344714629, A.D. 2018-Aug-12 20:16:23.3440,  1.146075586294381E+08, -9.921566314326857E+07,  1.356974018842727E+04,  1.901651405141484E+01,  2.242779938352226E+01, -4.810373386936462E-03,  5.056400461945940E+02,  1.515870723119108E+08, -3.018252426345727E-01,
2458343.594714629, A.D. 2018-Aug-13 02:16:23.3440,  1.150172872381430E+08, -9.873033931951195E+07,  1.346618126600236E+04,  1.892125974753946E+01,  2.250951846600549E+01, -4.777796034629134E-03,  5.056182164815334E+02,  1.515805279285750E+08, -3.041320263620721E-01,
2458343.844714629, A.D. 2018-Aug-13 08:16:23.3440,  1.154249544629133E+08, -9.824325511585614E+07,  1.336336518964171E+04,  1.882564605046988E+01,  2.259079723771918E+01, -4.741637194905834E-03,  5.055962214908881E+02,  1.515739339962658E+08, -3.064127210077424E-01,
2458344.094714629, A.D. 2018-Aug-13 14:16:23.3440,  1.158305525977787E+08, -9.775442006025405E+07,  1.326136630439758E+04,  1.872967821934467E+01,  2.267163415740874E+01, -4.702177957417675E-03,  5.055740631839135E+02,  1.515672911029527E+08, -3.086651002820346E-01,
2458344.344714629, A.D. 2018-Aug-13 20:16:23.3440,  1.162340740495049E+08, -9.726384371045281E+07,  1.316025277215987E+04,  1.863336142826882E+01,  2.275202800417015E+01, -4.659709167677661E-03,  5.055517436741403E+02,  1.515605998822564E+08, -3.108871646616633E-01,
2458344.594714629, A.D. 2018-Aug-14 02:16:23.3440,  1.166355113354315E+08, -9.677153564730863E+07,  1.306008639815450E+04,  1.853670073691853E+01,  2.283197785521989E+01, -4.614528008112018E-03,  5.055292652108462E+02,  1.515538610084934E+08, -3.130771459269245E-01,
2458344.844714629, A.D. 2018-Aug-14 08:16:23.3440,  1.170348570807228E+08, -9.627750546861289E+07,  1.296092252916843E+04,  1.843970106564665E+01,  2.291148306092887E+01, -4.566934776393694E-03,  5.055066301623553E+02,  1.515470751916694E+08, -3.152335074409752E-01,
2458345.094714629, A.D. 2018-Aug-14 14:16:23.3440,  1.174321040151318E+08, -9.578176278347918E+07,  1.286281001889706E+04,  1.834236717523551E+01,  2.299054321799333E+01, -4.517229918494792E-03,  5.054838409994605E+02,  1.515402431725094E+08, -3.173549405796576E-01,
