JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460139.895833333, A.D. 2023-Jul-14 09:30:00.0000,  1.131960639780669E+05,  3.777808386576846E+05,  2.359098206548643E+04, -9.413377409296807E-01,  3.199214063040721E-01,  6.594324809622761E-02,
2460139.916666667, A.D. 2023-Jul-14 10:00:00.0000,  1.115004345721221E+05,  3.783527214164462E+05,  2.370942801646268E+04, -9.426914815052730E-01,  3.155031915534850E-01,  6.566315572782096E-02,
2460139.937500000, A.D. 2023-Jul-14 10:30:00.0000,  1.098023870690292E+05,  3.789166476920180E+05,  2.382736867805466E+04, -9.440245147909475E-01,  3.110808847011484E-01,  6.538181660641859E-02,
2460139.958333333, A.D. 2023-Jul-14 11:00:00.0000,  1.081019587458384E+05,  3.794726102010700E+05,  2.394480181237069E+04, -9.453368364826445E-01,  3.066545773450865E-01,  6.509923769343064E-02,
2460139.979166667, A.D. 2023-Jul-14 11:30:00.0000,  1.063991868870195E+05,  3.800206018250600E+05,  2.406172519405821E+04, -9.466284426400573E-01,  3.022243609851840E-01,  6.481542595947760E-02,
2460140.000000000, A.D. 2023-Jul-14 12:00:00.0000,  1.046941087838085E+05,  3.805606156100568E+05,  2.417813661031987E+04, -9.478993296856351E-01,  2.977903270222684E-01,  6.453038838427157E-02,
2460140.020833333, A.D. 2023-Jul-14 12:30:00.0000,  1.029867617335550E+05,  3.810926447665609E+05,  2.429403386092989E+04, -9.491494944035902E-01,  2.933525667571972E-01,  6.424413195649602E-02,
2460140.041666667, A.D. 2023-Jul-14 13:00:00.0000,  1.012771830390723E+05,  3.816166826693236E+05,  2.440941475825006E+04, -9.503789339389086E-01,  2.889111713899475E-01,  6.395666367368764E-02,
2460140.062500000, A.D. 2023-Jul-14 13:30:00.0000,  9.956541000798884E+04,  3.821327228571644E+05,  2.452427712724573E+04, -9.515876457963625E-01,  2.844662320187103E-01,  6.366799054211762E-02,
2460140.083333333, A.D. 2023-Jul-14 14:00:00.0000,  9.785147995210117E+04,  3.826407590327879E+05,  2.463861880550117E+04, -9.527756278395243E-01,  2.800178396389864E-01,  6.337811957667330E-02,
2460140.104166667, A.D. 2023-Jul-14 14:30:00.0000,  9.613543018672943E+04,  3.831407850625969E+05,  2.475243764323529E+04, -9.539428782897854E-01,  2.755660851426864E-01,  6.308705780074081E-02,
