*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Sep  7 08:03:29 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Jul-14 09:30:00.0000 TDB
Stop  time      : A.D. 2023-Aug-25 00:00:00.0000 TDB
Step-size       : 10 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.230905.p231129
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-SEP-05. PREDICTS-> 2023-NOV-28
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460139.895833333, A.D. 2023-Jul-14 09:30:00.0000,  1.131960639780669E+05,  3.372231891102274E+05,  1.719168904385065E+05, -9.413377409296807E-01,  2.672914338753026E-01,  1.877591743642386E-01,
2460139.902777778, A.D. 2023-Jul-14 09:40:00.0000,  1.126311251542736E+05,  3.373831698773113E+05,  1.720293446074398E+05, -9.417912883175202E-01,  2.659777281399519E-01,  1.870880034259119E-01,
2460139.909722222, A.D. 2023-Jul-14 09:50:00.0000,  1.120659148921803E+05,  3.375423623103792E+05,  1.721413959803914E+05, -9.422425352336892E-01,  2.646636543240213E-01,  1.864165213563590E-01,
2460139.916666667, A.D. 2023-Jul-14 10:00:00.0000,  1.115004345721221E+05,  3.377007661894868E+05,  1.722530443711586E+05, -9.426914815052730E-01,  2.633492154409725E-01,  1.857447297427180E-01,
2460139.923611111, A.D. 2023-Jul-14 10:10:00.0000,  1.109346855745366E+05,  3.378583812964974E+05,  1.723642895944912E+05, -9.431381269638636E-01,  2.620344145031228E-01,  1.850726301717577E-01,
2460139.930555556, A.D. 2023-Jul-14 10:20:00.0000,  1.103686692799609E+05,  3.380152074150818E+05,  1.724751314660906E+05, -9.435824714455571E-01,  2.607192545216425E-01,  1.844002242298748E-01,
2460139.937500000, A.D. 2023-Jul-14 10:30:00.0000,  1.098023870690292E+05,  3.381712443307167E+05,  1.725855698026101E+05, -9.440245147909475E-01,  2.594037385065519E-01,  1.837275135030924E-01,
2460139.944444444, A.D. 2023-Jul-14 10:40:00.0000,  1.092358403224700E+05,  3.383264918306847E+05,  1.726956044216545E+05, -9.444642568451243E-01,  2.580878694667172E-01,  1.830544995770579E-01,
2460139.951388889, A.D. 2023-Jul-14 10:50:00.0000,  1.086690304211034E+05,  3.384809497040734E+05,  1.728052351417798E+05, -9.449016974576676E-01,  2.567716504098485E-01,  1.823811840370411E-01,
2460139.958333333, A.D. 2023-Jul-14 11:00:00.0000,  1.081019587458384E+05,  3.386346177417744E+05,  1.729144617824931E+05, -9.453368364826445E-01,  2.554550843424949E-01,  1.817075684679321E-01,
2460139.965277778, A.D. 2023-Jul-14 11:10:00.0000,  1.075346266776701E+05,  3.387874957364834E+05,  1.730232841642523E+05, -9.457696737786041E-01,  2.541381742700428E-01,  1.810336544542398E-01,
2460139.972222222, A.D. 2023-Jul-14 11:20:00.0000,  1.069670355976773E+05,  3.389395834826983E+05,  1.731317021084661E+05, -9.462002092085744E-01,  2.528209231967116E-01,  1.803594435800892E-01,
