JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,
2458342.844714629, A.D. 2018-Aug-12 08:16:23.3440,  5.257086574346444E+06, -1.086432234221226E+08, -1.856858070051998E+06,  3.474278773888793E+01,  1.568362958164965E+00, -1.976847012016592E+00,  3.628716664182252E+02,  1.087861888140758E+08,  1.463840236311252E-01,
2458343.094714629, A.D. 2018-Aug-12 14:16:23.3440,  6.007398352935625E+06, -1.086067345499471E+08, -1.899512971327513E+06,  3.473024684446986E+01,  1.810219278978641E+00, -1.972665115586991E+00,  3.628821665507361E+02,  1.087893366746106E+08,  1.450833918000388E-01,
2458343.344714629, A.D. 2018-Aug-12 20:16:23.3440,  6.757421220934350E+06, -1.085650227264584E+08, -1.942076522631966E+06,  3.471603691186772E+01,  2.051967657359751E+00, -1.968388717439667E+00,  3.628925727245464E+02,  1.087924563670355E+08,  1.437758758066685E-01,
2458343.594714629, A.D. 2018-Aug-13 02:16:23.3440,  7.507119137343552E+06, -1.085180904065515E+08, -1.984546685081296E+06,  3.470015890058292E+01,  2.293596674620958E+00, -1.964018036154898E+00,  3.629028844459249E+02,  1.087955477433338E+08,  1.424615387607717E-01,
2458343.844714629, A.D. 2018-Aug-13 08:16:23.3440,  8.256456082710481E+06, -1.084659402916640E+08, -2.026921424558550E+06,  3.468261384612717E+01,  2.535094921481551E+00, -1.959553294552494E+00,  3.629131012256982E+02,  1.087986106568549E+08,  1.411404440702020E-01,
2458344.094714629, A.D. 2018-Aug-13 14:16:23.3440,  9.005396060769472E+06, -1.084085753295685E+08, -2.069198711805396E+06,  3.466340285992433E+01,  2.776450998548205E+00, -1.954994719679289E+00,  3.629232225792724E+02,  1.088016449623211E+08,  1.398126554380119E-01,
2458344.344714629, A.D. 2018-Aug-13 20:16:23.3440,  9.753903100080559E+06, -1.083459987141529E+08, -2.111376522513233E+06,  3.464252712920980E+01,  3.017653516794651E+00, -1.950342542796480E+00,  3.629332480266535E+02,  1.088046505158341E+08,  1.384782368595421E-01,
2458344.594714629, A.D. 2018-Aug-14 02:16:23.3440,  1.050194125566590E+07, -1.082782138851921E+08, -2.153452837414071E+06,  3.461998791692708E+01,  3.258691098040236E+00, -1.945596999366835E+00,  3.629431770924692E+02,  1.088076271748806E+08,  1.371372526195024E-01,
2458344.844714629, A.D. 2018-Aug-14 08:16:23.3440,  1.124947461064393E+07, -1.082052245281081E+08, -2.195425642371222E+06,  3.459578656162195E+01,  3.499552375427365E+00, -1.940758329041775E+00,  3.629530093059892E+02,  1.088105747983393E+08,  1.357897672890488E-01,
2458345.094714629, A.D. 2018-Aug-14 14:16:23.3440,  1.199646727786120E+07, -1.081270345737208E+08, -2.237292928469576E+06,  3.456992447733388E+01,  3.740225993897818E+00, -1.935826775648305E+00,  3.629627442011453E+02,  1.088134932464866E+08,  1.344358457228629E-01,
